,id,Popular_Sum,Date
1095,942526513731260417,582,2017-12-17
1096,942631094519660544,1381,2017-12-18
1097,942631583655198720,586,2017-12-18
1098,943195824355512323,3596,2017-12-19
1099,943196385373052934,97996,2017-12-19
1100,943330749809389569,957,2017-12-20
1101,943420026593337344,161524,2017-12-20
1102,943535304417218560,11238,2017-12-20
1103,943590152181448704,19352,2017-12-20
1104,943592480926076928,19755,2017-12-20
1105,943593718094880768,1806,2017-12-20
1106,943595786100604928,5974,2017-12-20
1107,943669661165588481,3779,2017-12-21
1108,943699548169388032,1058,2017-12-21
1109,943857328662634496,2074,2017-12-21
1110,943867218776899584,25848,2017-12-21
1111,943875606130782208,11998,2017-12-21
1112,943876138056663040,5835,2017-12-21
1113,943878616454127616,1626,2017-12-21
1114,943882440984223747,2436,2017-12-21
1115,943885775308914688,2078,2017-12-21
1116,943887056492564480,4457,2017-12-21
1117,943901463998169088,227031,2017-12-21
1118,943902052542849024,24197,2017-12-21
1119,943911396177096704,2415,2017-12-21
1120,944379111358607360,33492,2017-12-23
1121,944382221435019264,40567,2017-12-23
1122,944399853316055040,411793,2017-12-23
1123,944413997163409410,12245,2017-12-23
1124,944495421161742336,147794,2017-12-23
1125,944496926329733120,2627,2017-12-23
1126,944700127100497920,67475,2017-12-23
1127,944710976930070528,35733,2017-12-23
1128,944718722555453446,38388,2017-12-23
1129,944779560104574977,134622,2017-12-24
1130,944783379022540800,9864,2017-12-24
1131,944787213430034432,136746,2017-12-24
1132,944787733079252992,1712,2017-12-24
1133,944788312908218369,3870,2017-12-24
1134,945048998540226560,88989,2017-12-24
1135,945058757653831680,797,2017-12-24
1136,945099789741449216,506,2017-12-25
1137,945100013973020672,2715,2017-12-25
1138,945712432416137217,154733,2017-12-26
1139,945713299068456962,4084,2017-12-26
1140,945713737729634304,17820,2017-12-26
1141,945727385269182464,7677,2017-12-26
1142,945727563187421185,2806,2017-12-26
1143,945728300969746433,4865,2017-12-26
1144,945728690507231232,2577,2017-12-26
1145,945729229001334784,4837,2017-12-26
1146,945729852874694656,3553,2017-12-26
1147,945730195113365504,5330,2017-12-26
1148,945748731197980672,3119,2017-12-26
1149,945749747129659392,3270,2017-12-26
1150,945814723521417217,2614,2017-12-27
1151,948426645429305344,6771,2018-01-03
1152,948428274467618816,67013,2018-01-03
1153,948469610944241664,21775,2018-01-03
1154,949075475036487680,110574,2018-01-05
1155,949075535459528705,34585,2018-01-05
1156,949094319314558978,7369,2018-01-05
1157,949831212326993920,208329,2018-01-07
1158,949838199945281536,1181,2018-01-07
1159,949846430750920704,4162,2018-01-07
1160,949859157493952513,4802,2018-01-07
1161,950191339349528576,5255,2018-01-08
1162,950416244997488640,25301,2018-01-08
1163,950600363630931968,8891,2018-01-09
1164,950798675579609088,1232,2018-01-09
1165,951893894605586432,590,2018-01-12
1166,952049059291803648,1073,2018-01-13
1167,952750646406426624,770,2018-01-15
1168,952753984896315392,590,2018-01-15
1169,952964012009971712,1276,2018-01-15
1170,954074142835294208,1265,2018-01-18
1171,954110572315918337,1980,2018-01-18
1172,956233892637286400,102100,2018-01-24
1173,956246054432751616,4464,2018-01-24
1174,957361443023695872,72276,2018-01-27
1175,957413581020114944,15700,2018-01-28
1176,957414748881997825,52896,2018-01-28
1177,957416875826262016,15205,2018-01-28
1178,957421513367416832,10262,2018-01-28
1179,957426074467618818,23474,2018-01-28
1180,957441956874919936,174115,2018-01-28
1181,957450070407852032,47012,2018-01-28
1182,957469890473938950,138194,2018-01-28
1183,957476434800386053,112377,2018-01-28
1184,957493529244086273,3327,2018-01-28
1185,957493532599640066,895,2018-01-28
1186,957494364028071936,481037,2018-01-28
1187,957503604750823425,134726,2018-01-28
1188,957605497338605568,3698,2018-01-28
1189,957708671219245061,672,2018-01-28
1190,957787361630236672,135122,2018-01-29
1191,957788568457367552,2803,2018-01-29
1192,957790484981719040,4450,2018-01-29
1193,958044440085409792,468,2018-01-29
1194,958047422797643776,4243,2018-01-29
1195,958081411470131200,21159,2018-01-29
1196,958082901987360769,52456,2018-01-29
1197,958083496370565120,1219,2018-01-29
1198,958371267203145729,19913,2018-01-30
1199,958500867832975361,19139,2018-01-31
1200,958568634917556224,28138,2018-01-31
1201,958802580137627648,1599,2018-01-31
1202,958824754596556800,1850,2018-01-31
1203,958825021098491904,43287,2018-01-31
1204,958845290022289408,11584,2018-01-31
1205,958845994984030208,4433,2018-01-31
1206,958847818583584768,56898,2018-01-31
1207,958848287628406784,1681,2018-01-31
1208,958872914278821893,1581,2018-02-01
1209,958931799391924224,175235,2018-02-01
1210,958932755194167296,135205,2018-02-01
